name,title,seller,trade_url,condition,ship_fee,size,sold_price,sold_date
Jordan 1 Retro High Pollen,Jordan 1 Retro High 555088-701 Pollen Black White Size 12.5 NEW IN HAND,jdubs46_0,https://www.ebay.com/itm/224582244328?epid=7043558076&hash=item344a2517e8:g:-KUAAOSw3phhIqXm,New with box,$14.20,12.5,228.50,"Aug 29, 2021"
Jordan 1 Retro High Pollen,Nike Air Jordan 1 Retro High OG Pollen - 555088-701 - Size 9.5,swanuh,https://www.ebay.com/itm/194321222095?epid=6043564739&hash=item2d3e7289cf:g:hpMAAOSwGPZhK6mS,New with box,FREE,9.5,220.00,"Aug 29, 2021"
Jordan 1 Retro High Pollen,Nike Air Jordan 1 Retro High Pollen (GS) Size 7Y/8.5W 575441-701 Ships Now!,coffeebeankicks,https://www.ebay.com/itm/144155011115?epid=18048475730&hash=item21904ee82b:g:DPwAAOSwgrBhHuNg,New with box,$15.20,7,164.99,"Aug 29, 2021"
Jordan 1 Retro High Pollen,Air Jordan 1 Retro High OG (PS) Pollen Size 3Y [AQ2664-701] 100% AUTHENTIC,perc300,https://www.ebay.com/itm/294357978531?hash=item44891a4da3:g:DAoAAOSwe~1hJk8N,New with box,FREE,3Y,109.00,"Aug 29, 2021"
Jordan 1 Retro High Pollen,Jordan 1 High Retro OG Pollen Size 12 NEW DS AUTHENTIC,tdhenry23,https://www.ebay.com/itm/114950393752?epid=17043551181&hash=item1ac393cf98:g:PpUAAOSw8wlhIvvm,New with box,FREE,12,260.00,"Aug 29, 2021"
Jordan 1 Retro High Pollen,Nike Air Jordan 1 Retro High OG Pollen (GS) - Size 6Y,scott12285,https://www.ebay.com/itm/265289853826?hash=item3dc481eb82:g:QwkAAOSwrExhK3sc,New with box,$6.00,6,155.00,"Aug 29, 2021"
Jordan 1 Retro High Pollen,Size 8 - Jordan 1 High Retro OG Pollen,cacbuh,https://www.ebay.com/itm/324770196825?hash=item4b9dcfed59:g:V6sAAOSwfWxhK6t1,New with box,FREE,8,230.00,"Aug 29, 2021"
Jordan 1 Retro High Pollen,Air Jordan 1 Retro High OG Pollen Size 11,antgotem,https://www.ebay.com/itm/255100194798?hash=item3b65280fee:g:oEgAAOSwUtdhHrGP,New with box,$9.55,11,225.00,"Aug 29, 2021"
Jordan 1 Retro High Pollen,Size 8.5 - Jordan 1 High Retro OG Pollen,kee419,https://www.ebay.com/itm/224586782030?epid=2314599653&hash=item344a6a554e:g:sicAAOSwpMBhJ85k,New with box,$12.00,8.5,204.00,"Aug 29, 2021"
Jordan 1 Retro High Pollen,"Air Jordan 1 Retro High Pollen SIZE 4.5, 8, 8.5, 9 ORDER CONFIRMED 555088-701",fal_ale_a55b8lq,https://www.ebay.com/itm/393507669575?var=662300852774&epid=2314599653&hash=item5b9ee28647:g:6UUAAOSwsR9hF9Y7,New with box,FREE,US Shoe Size: 8.5,249.00,"Aug 19, 2021"
Jordan 1 Retro High Pollen,"Air Jordan 1 Retro High Pollen SIZE 4.5, 8, 8.5, 9 ORDER CONFIRMED 555088-701",fal_ale_a55b8lq,https://www.ebay.com/itm/393507669575?var=662300852774&epid=2314599653&hash=item5b9ee28647:g:6UUAAOSwsR9hF9Y7,New with box,FREE,US Shoe Size: 9,249.00,"Aug 14, 2021"
Jordan 1 Retro High Pollen,Nike Air Jordan 1 Retro High Pollen (Size 9) [IN HAND / FAST SHIP / AUTHENTIC],waniewskij,https://www.ebay.com/itm/373698743007?epid=14043551524&hash=item57022e4adf:g:CnUAAOSwsblhJ6Ew,New with box,$12.00,9,218.00,"Aug 29, 2021"
Jordan 1 Retro High Pollen,Size 12 - Jordan 1 High Retro OG Pollen,idoctor941,https://www.ebay.com/itm/185020337038?epid=17043551181&hash=item2b14124b8e:g:Qe4AAOSwYz1hIpqf,New with box,FREE,12,249.99,"Aug 29, 2021"
Jordan 1 Retro High Pollen,Air Jordan 1 Retro High OG Pollen,cole-m-312,https://www.ebay.com/itm/313652907695?hash=item49072b8eaf:g:0WsAAOSwZfBhGdod,New with box,$23.60,11,200.00,"Aug 29, 2021"
Jordan 1 Retro High Pollen,"AIR JORDAN 1 RETRO HIGH OG POLLEN 555088-701, US 9 In hand, ready to ship.",sum-2861,https://www.ebay.com/itm/313649844544?epid=14043551524&hash=item4906fcd140:g:vCkAAOSwxJhhIEA~,New with box,$9.90,9,210.00,"Aug 29, 2021"
Jordan 1 Retro High Pollen,"Air Jordan 1 Retro High ""Pollen"" Size 14 New In Box Purchased on SNKRS",mapexclusivesneakers,https://www.ebay.com/itm/265275975301?hash=item3dc3ae2685:g:~P4AAOSwVgdhHvmN,New with box,$9.05,14,250.00,"Aug 29, 2021"
Jordan 1 Retro High Pollen,Air Jordan 1 Retro High OG Pollen (GS) Size 6Y 575441-701 FAST SHIPPING,vahgaribya0,https://www.ebay.com/itm/384350516750?hash=item597d13760e:g:IHEAAOSwkhlhJZ9Q,New with box,$12.00,6,150.00,"Aug 29, 2021"
Jordan 1 Retro High Pollen,Air Jordan 1 High Og Pollen (555088 701),fc_us_h8z2zzh,https://www.ebay.com/itm/174903937320?epid=6043564723&hash=item28b9164928:g:AuMAAOSwX2hhImON,New with box,$9.05,11.5,217.50,"Aug 29, 2021"
Jordan 1 Retro High Pollen,Air Jordan 1 High Og Pollen (555088 701),fc_us_h8z2zzh,https://www.ebay.com/itm/174903916904?epid=27043546792&hash=item28b915f968:g:frsAAOSwifphIl~D,New with box,$9.05,11,223.71,"Aug 29, 2021"
Jordan 1 Retro High Pollen,Size 7!!- Jordan 1 High Retro OG Pollen!! Brand New!!!,2rich4tv,https://www.ebay.com/itm/313652160969?epid=7043558014&hash=item49072029c9:g:Ma0AAOSw1PJhKCGD,New with box,FREE,7,190.00,"Aug 29, 2021"
Jordan 1 Retro High Pollen,Air Jordan 1 High Og Pollen (555088 701),fc_us_h8z2zzh,https://www.ebay.com/itm/174903904469?epid=23043563324&hash=item28b915c8d5:g:uAMAAOSwzWthIlyV,New with box,$9.05,10.5,217.50,"Aug 29, 2021"
Jordan 1 Retro High Pollen,Air Jordan 1 High Og Pollen (555088 701),fc_us_h8z2zzh,https://www.ebay.com/itm/174903885865?epid=25043542489&hash=item28b9158029:g:xKgAAOSw94lhIljS,New with box,$9.05,10,211.25,"Aug 29, 2021"
Jordan 1 Retro High Pollen,Air Jordan 1 High Pollen (555088 701),fc_us_h8z2zzh,https://www.ebay.com/itm/174903867884?epid=6043564739&hash=item28b91539ec:g:CHUAAOSw74FhIlVn,New with box,$9.05,9.5,200.50,"Aug 29, 2021"
Jordan 1 Retro High Pollen,"Air Jordan 1 Retro High Pollen SIZE 10.5. 1,200 Positives!!",elmhurstsales,https://www.ebay.com/itm/165018255416?epid=23043563324&hash=item266bdac038:g:bqwAAOSwcPphF9Iv,New with box,$12.00,10.5,230.00,"Aug 29, 2021"
Jordan 1 Retro High Pollen,Size 11 - Jordan 1 High Retro OG Pollen,oggroov78,https://www.ebay.com/itm/373694381540?epid=27043546792&hash=item5701ebbde4:g:EuQAAOSwquJhI02D,New with box,$12.80,11,230.99,"Aug 29, 2021"
Jordan 1 Retro High Pollen,"Nike Air Jordan 1 High Retro OG ""Pollen"" Mens Size 10 Brand New",rsto9070,https://www.ebay.com/itm/255113007428?epid=25043542489&hash=item3b65eb9144:g:cyMAAOSwqK1hKsnr,New with box,FREE,10,229.99,"Aug 29, 2021"
