name,title,seller,trade_url,condition,ship_fee,size,sold_price,sold_date
adidas Yeezy Boost 350 V2 Black Red (2017/2020),adidas yeezy boost 350 v2 Black Red (Non Relflective) Size 10.5,kingaceix,https://www.ebay.com/itm/284375253799?hash=item4236160327:g:JcwAAOSwwcZgyzyE,Pre-owned,$12.80,10.5,202.50,"Jul 27, 2021"
adidas Yeezy Boost 350 V2 Black Red (2017/2020),Size 10 - adidas Yeezy Boost 350 V2 Bred 2017,hayhar-42,https://www.ebay.com/itm/384286946981?epid=22039802212&hash=item59794976a5:g:0Z0AAOSwzbVg7gnp,Pre-owned,$10.10,10,300.00,"Jul 27, 2021"
adidas Yeezy Boost 350 V2 Black Red (2017/2020),Size 9 - adidas Yeezy Boost 350 V2 Red Stripe 2016,aes_3202,https://www.ebay.com/itm/174853222580?epid=14039797855&hash=item28b61070b4:g:2SUAAOSwItRg0Oxk,Pre-owned,$11.10,6.5,230.00,"Jul 27, 2021"
adidas Yeezy Boost 350 V2 Black Red (2017/2020),adidas Yeezy Boost 350 V2 Bred 2017 Size 10,xclusivesnkrs,https://www.ebay.com/itm/164921341870?epid=22039802212&hash=item266613f7ae:g:gcsAAOSw7CtgsXUA,Pre-owned,$8.85,10,339.99,"Jul 27, 2021"
adidas Yeezy Boost 350 V2 Black Red (2017/2020),Adidas Yeezy Boost 350 V2 Core Black Red Bred Size US 7.5 Mens Retro Running,2015_coret,https://www.ebay.com/itm/114903850192?epid=2310847576&hash=item1ac0cd9cd0:g:~fEAAOSwYBZg-xSB,Pre-owned,$10.10,7.5,300.00,"Jul 27, 2021"
