url,name,release_date,ticker,image_path,retail_price,style_code,colorway
https://stockx.com/air-jordan-1-high-og-sp-fragment-design-x-travis-scott,Jordan 1 High OG SP fragment design x Travis Scott,07/29/2021,JB-JO1HOSFSB,/images/sneakers/retro-jordans/air-jordan-1/JB-JO1HOSFSB.jpg,$200,DH3227-105,SAIL/BLACK-MILITARY BLUE-SHY PINK
https://stockx.com/air-jordan-1-low-unc-2021,Jordan 1 Low UNC (2021),07/27/2021,JB-JO1LUWU,/images/sneakers/retro-jordans/air-jordan-1/JB-JO1LUWU.jpg,$90,553558-144,WHITE/UNIVERSITY BLUE-BLACK
https://stockx.com/air-jordan-1-mid-se-iron-purple-deep-royal-w,Jordan 1 Mid SE Iron Purple Deep Royal (W),07/22/2021,JB-JO1MSIPID,/images/sneakers/retro-jordans/air-jordan-1/JB-JO1MSIPID.jpg,N/A,DH7821-500,IRON PURPLE/DEEP ROYAL BLUE-WHITE
https://stockx.com/air-jordan-1-retro-high-electro-orange,Jordan 1 Retro High Electro Orange,07/17/2021,JB-JO1RHEOWE,/images/sneakers/retro-jordans/air-jordan-1/JB-JO1RHEOWE.jpg,$170,555088-180,WHITE/ELECTRO ORANGE-BLACK
https://stockx.com/air-jordan-1-mid-grey-blue-w,Jordan 1 Mid Wolf Grey Aluminum (W),07/15/2021,JB-JO1MGBWG,/images/sneakers/retro-jordans/air-jordan-1/JB-JO1MGBWG.jpg,$115,BQ6472-105,WHITE/ALUMINUM-WOLF GREY
https://stockx.com/air-jordan-1-low-quai-54-2021,Jordan 1 Low Quai 54 (2021),07/10/2021,JB-JO1LQ5BW,/images/sneakers/retro-jordans/air-jordan-1/JB-JO1LQ5BW.jpg,N/A,DM0095-106,BLACK/WHITE-RED-GREY
https://stockx.com/air-jordan-1-low-og-neutral-grey,Jordan 1 Low OG Neutral Grey (2021),06/24/2021,JB-JO1LONGWW,/images/sneakers/retro-jordans/air-jordan-1/JB-JO1LONGWW.jpg,$130,CZ0790-100,WHITE/NEUTRAL GREY-PARTICLE GREY
https://stockx.com/air-jordan-1-low-og-neutral-grey-2021-w,Jordan 1 Low OG Neutral Grey (2021) (W),06/24/2021,JB-JO1LONWW,/images/sneakers/retro-jordans/air-jordan-1/JB-JO1LONWW.jpg,$130,CZ0775-100,WHITE/WHITE-NEUTRAL GREY
https://stockx.com/air-jordan-1-mid-igloo,Jordan 1 Mid Tropical Twist Igloo,06/22/2021,JB-JO1MIWB,/images/sneakers/retro-jordans/air-jordan-1/JB-JO1MIWB.jpg,$115,554724-132,WHITE/BLACK-TROPICAL TWIST
https://stockx.com/air-jordan-1-retro-high-og-light-fusion-red,Jordan 1 Retro High OG Light Fusion Red,06/12/2021,JB-JO1RHOLLW,/images/sneakers/retro-jordans/air-jordan-1/JB-JO1RHOLLW.jpg,$170,555088-603,LIGHT FUSION RED/WHITE-LASER ORANGE-BLACK
https://stockx.com/air-jordan-1-mid-aqua-blue-tint-w,Jordan 1 Mid Aqua Blue Tint (W),06/07/2021,JB-JO1MABTLB,/images/sneakers/retro-jordans/air-jordan-1/JB-JO1MABTLB.jpg,$110,BQ6472-300,LIGHT DEW/BLACK-TEAL TINT-WHITE
https://stockx.com/air-jordan-1-retro-high-court-purple-w,Jordan 1 Retro High Court Purple (W),06/03/2021,JB-JO1RHCPWC,/images/sneakers/retro-jordans/air-jordan-1/JB-JO1RHCPWC.jpg,$170,CD0461-151,WHITE/COURT PURPLE
https://stockx.com/air-jordan-1-low-spades,Jordan 1 Low Spades,05/27/2021,JB-JO1LSWR,/images/sneakers/retro-jordans/air-jordan-1/JB-JO1LSWR.jpg,$110,DJ5185-100,WHITE/METALLIC GOLD-UNIVERSITY RED-SAIL
https://stockx.com/air-jordan-1-retro-low-white-ghost-green-black,Jordan 1 Retro Low White Ghost Green Black,05/21/2021,JB-JO1RLWGWG,/images/sneakers/retro-jordans/air-jordan-1/JB-JO1RLWGWG.jpg,$130,DM7837-103,WHITE/GHOST GREEN-BLACK
https://stockx.com/air-jordan-1-retro-high-black-white-light-smoke-grey,Jordan 1 Retro High Shadow 2.0,05/15/2021,AJ1H-BWLSG,/images/sneakers/retro-jordans/air-jordan-1/AJ1H-BWLSG.jpg,$170,555088-035,BLACK/WHITE-LIGHT SMOKE GREY
https://stockx.com/air-jordan-1-ko-chicago-2021,Jordan 1 Retro AJKO Chicago (2021),05/12/2021,JB-JO1KCWRBK,/images/sneakers/retro-jordans/air-jordan-1/JB-JO1KCWRBK.jpg,$140,DA9089-100,WHITE/RED/BLACK
https://stockx.com/air-jordan-1-mid-crimson-tint-toe,Jordan 1 Mid Arctic Orange Black Toe,05/04/2021,JB-JO1MCTTCW,/images/sneakers/retro-jordans/air-jordan-1/JB-JO1MCTTCW.jpg,$115,554724-133,WHITE/ARCTIC ORANGE-BLACK
https://stockx.com/air-jordan-1-retro-high-light-army,Jordan 1 Retro High Light Army Rust Shadow Patina,05/04/2021,JB-JO1RHRSBG,/images/sneakers/retro-jordans/air-jordan-1/JB-JO1RHRSBG.jpg,$170,555088-033,BLACK/GREY-RUST
