id,brand,category,shoe,colorway,gender,imageUrl,thumbUrl,releaseDate,belowRetail,retailPrice,styleId,tickerSymbol,title,urlKey,marketAnnualHigh,marketAnnualLow,marketSalesLast72Hours,marketLowestAsk,marketLowestAskSize,marketHighestBid,marketHighestBidSize
d290e592-2552-4a00-a705-3102caecc473,Jordan,Air Jordan One,Jordan 1 Retro High,Pollen/Black-White,men,"https://images.stockx.com/images/Air-Jordan-1-Retro-High-Pollen-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1626802470","https://images.stockx.com/images/Air-Jordan-1-Retro-High-Pollen-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1626802470",2021-08-14,False,170,555088-701,JB-JO1RHPBKGD,Jordan 1 Retro High Pollen,air-jordan-1-retro-high-pollen,600,142,1023,206,8,240,12.5
5836a63b-14d0-441d-9fc9-8be98eac1166,Jordan,Air Jordan One,Jordan 1 High OG,Seafoam/Healing Orange-White,women,"https://images.stockx.com/images/Air-Jordan-1-High-OG-Seafoam-W-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1627324677","https://images.stockx.com/images/Air-Jordan-1-High-OG-Seafoam-W-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1627324677",2021-08-12,False,170,CD0461-002,JB-JO1HOSSH,Jordan 1 High OG Seafoam (W),air-jordan-1-high-og-seafoam-w,424,125,866,229,11W,250,8W
9cd35592-4dda-4cc8-81fd-3ea8e1c3ef04,Jordan,Air Jordan One,Jordan 1 Low,White/Dark Powder Blue-Obsidian,men,"https://images.stockx.com/images/Air-Jordan-1-Low-UNC-2021-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1626289154","https://images.stockx.com/images/Air-Jordan-1-Low-UNC-2021-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1626289154",2021-07-27,False,90,553558-144,JB-JO1LUWU,Jordan 1 Low UNC (2021),air-jordan-1-low-unc-2021,399,107,810,142,7.5,200,7
879af9d9-6e67-4623-b6f5-58efc730324f,Jordan,Air Jordan One,Jordan 1 Mid,White/Aluminum-Wolf Grey,women,"https://images.stockx.com/images/Air-Jordan-1-Mid-Grey-Blue-W-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1626802413","https://images.stockx.com/images/Air-Jordan-1-Mid-Grey-Blue-W-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1626802413",2021-07-15,False,115,BQ6472-105,JB-JO1MGBWG,Jordan 1 Mid Wolf Grey Aluminum (W),air-jordan-1-mid-grey-blue-w,482,130,708,166,8.5W,179,11W
5308fc27-373e-44a8-a6e4-3feeff9a4038,Jordan,Air Jordan One,Jordan 1 Low,White/Black-Royal- Sail,men,"https://images.stockx.com/images/Air-Jordan-1-Low-fragment-design-x-Travis-Scott-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1629307046","https://images.stockx.com/images/Air-Jordan-1-Low-fragment-design-x-Travis-Scott-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1629307046",2021-08-13,False,150,DM7866-140,JB-JO1LFDXWB,Jordan 1 Low Fragment x Travis Scott,air-jordan-1-low-fragment-design-x-travis-scott,5222,855,694,1085,15,2500,16
8ff727cd-f831-421b-a3c4-9abcbebfec29,Jordan,Air Jordan One,Jordan 1 Mid,Black/White-Varsity Royal,men,"https://images.stockx.com/images/Air-Jordan-1-Mid-White-Black-Royal-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1626289212","https://images.stockx.com/images/Air-Jordan-1-Mid-White-Black-Royal-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1626289212",,False,115,554724-140,JB-JO1MWBR,Jordan 1 Mid White Black Royal,air-jordan-1-mid-white-black-royal,273,94,654,134,8,140,11
2992e4c5-416c-40ed-84a6-db4c7ebc9453,Jordan,Air Jordan One,Jordan 1 Low,Black/Particle Grey-White,men,"https://images.stockx.com/images/Air-Jordan-1-Low-Black-White-Grey-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1629140709","https://images.stockx.com/images/Air-Jordan-1-Low-Black-White-Grey-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1629140709",,False,90,553558-040,JB-JO1LBWGBM,Jordan 1 Low Black White Grey,air-jordan-1-low-black-white-grey,299,89,522,128,11,200,4.5
1aafa0b7-0821-4f5f-a42f-bfdaeb2d677d,Jordan,Air Jordan One,Jordan 1 Retro High,Black/White-Light Smoke Grey,men,"https://images.stockx.com/images/Air-Jordan-1-Retro-High-Black-White-Light-Smoke-Grey-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1621454319","https://images.stockx.com/images/Air-Jordan-1-Retro-High-Black-White-Light-Smoke-Grey-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1621454319",2021-05-15,False,170,555088-035,AJ1H-BWLSG,Jordan 1 Retro High Shadow 2.0,air-jordan-1-retro-high-black-white-light-smoke-grey,1000,91,475,228,13,308,11
7136a7f0-9cdf-46dd-a0e9-b83c263d84eb,Jordan,Air Jordan One,Jordan 1 Mid,White/Gym Red-Black,men,"https://images.stockx.com/images/Air-Jordan-1-Mid-Metallic-Red-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1618343536","https://images.stockx.com/images/Air-Jordan-1-Mid-Metallic-Red-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1618343536",,False,120,554724-122,JB-JO1MMRWGX,Jordan 1 Mid Gym Red Black White,air-jordan-1-mid-gym-red-black-white,317,75,414,143,9,250,5.5
bd156db8-e1db-4310-a5ae-5f7b0fdae1a4,Jordan,Air Jordan One,Air Jordan 1 Low,Starfish/White-Black,men,"https://images.stockx.com/images/Air-Air-Jordan-1-Low-OG-Shattered-Backboard-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1629140820","https://images.stockx.com/images/Air-Air-Jordan-1-Low-OG-Shattered-Backboard-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1629140820",2021-08-26,False,130,CZ0790-801,JB-AIJ1LOSOW,Air Jordan 1 Low Starfish,air-air-jordan-1-low-og-shattered-backboard,1062,190,374,215,7,300,14
5bf43351-3215-41df-9cb9-6340eba658d2,Jordan,Air Jordan One,Jordan 1 Retro High,White/Electro Orange-Black,men,"https://images.stockx.com/images/Air-Jordan-1-Retro-High-Electro-Orange-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1626802469","https://images.stockx.com/images/Air-Jordan-1-Retro-High-Electro-Orange-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1626802469",2021-07-17,False,170,555088-180,JB-JO1RHEOWE,Jordan 1 Retro High Electro Orange,air-jordan-1-retro-high-electro-orange,1340,142,364,198,8,245,6
dd830775-6cb7-40f4-8ef3-4d944c897fce,Jordan,Air Jordan One,Jordan 1 Retro High,White/University Blue-Black,men,"https://images.stockx.com/images/Air-Jordan-1-Retro-High-White-University-Blue-Black-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1611777406","https://images.stockx.com/images/Air-Jordan-1-Retro-High-White-University-Blue-Black-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1611777406",2021-03-06,False,170,555088-134,JB-JO1RHWUWUX,Jordan 1 Retro High White University Blue Black,air-jordan-1-retro-high-white-university-blue-black,1233,195,353,370,9,411,5.5
1269426a-2d47-4aeb-8c0b-a9d322e463b9,Jordan,Air Jordan One,Jordan 1 Retro High OG,Pollen/Black-White,child,"https://images.stockx.com/images/Air-Jordan-1-Retro-High-OG-Pollen-GS-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1628003408","https://images.stockx.com/images/Air-Jordan-1-Retro-High-OG-Pollen-GS-Product.jpg?fit=fill&bg=FFFFFF&w=140&h=100&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1628003408",2021-08-14,False,130,575441-701,JB-JO1RHOPPBG,Jordan 1 Retro High OG Pollen (GS),air-jordan-1-retro-high-og-pollen-gs,258,120,311,140,3.5Y,158,4.5Y
